Ticker;Type;Nb_Lignes;Date_Min;Date_Max;Dernier_Cours
ABJC.ci;Action;3566;2008-01-04;2026-05-15;2850,0
BICB.bj;Action;273;2025-04-28;2026-05-15;5200,0
BICC.ci;Action;3427;2008-01-03;2026-05-15;26450,0
BNBC.ci;Action;3053;2008-01-07;2026-05-15;1545,0
BOAB.bj;Action;4066;2008-01-16;2026-05-15;9400,0
BOABF.bf;Action;3454;2011-01-03;2026-05-15;5400,0
BOAC.ci;Action;3548;2010-04-12;2026-05-15;8630,0
BOAM.ml;Action;2535;2016-05-31;2026-05-15;4690,0
BOAN.ne;Action;3935;2008-01-02;2026-05-15;3445,0
BOAS.sn;Action;2925;2014-12-10;2026-05-15;7595,0
CABC.ci;Action;3142;2008-02-12;2026-05-15;3495,0
CBIBF.bf;Action;2295;2016-12-23;2026-05-15;19905,0
CFAC.ci;Action;3137;2008-01-02;2026-05-15;1555,0
CIEC.ci;Action;4268;2008-01-02;2026-05-15;3290,0
ECOC.ci;Action;2162;2017-12-12;2026-05-15;16300,0
ETIT.tg;Action;2959;2014-07-11;2026-05-15;29,0
FTSC.ci;Action;4136;2008-01-07;2026-05-15;2250,0
LNBB.bj;Action;368;2024-12-13;2026-05-15;3900,0
NEIC.ci;Action;2279;2008-06-09;2026-05-15;1920,0
NSBC.ci;Action;2140;2017-10-24;2026-05-15;15000,0
NTLC.ci;Action;3132;2008-01-08;2026-05-15;11750,0
ONTBF.bf;Action;3922;2009-04-30;2026-05-15;2795,0
ORAC.ci;Action;877;2022-12-30;2026-05-15;15150,0
ORGT.tg;Action;1702;2019-04-16;2026-05-15;2435,0
PALC.ci;Action;2865;2014-07-11;2026-05-15;7700,0
PRSC.ci;Action;2145;2008-01-11;2026-05-15;3695,0
SAFC.ci;Action;1347;2018-07-19;2026-05-15;3990,0
SCRC.ci;Action;2372;2016-12-29;2026-05-15;2550,0
SDCC.ci;Action;3661;2008-01-02;2026-05-15;9900,0
SDSC.ci;Action;3653;2008-01-02;2026-05-15;1750,0
SEMC.ci;Action;97;2025-11-07;2026-05-15;1505,0
SGBC.ci;Action;4149;2008-01-02;2026-05-15;35985,0
SHEC.ci;Action;3967;2008-01-02;2026-05-15;1980,0
SIBC.ci;Action;2446;2016-10-27;2026-05-15;7500,0
SICC.ci;Action;1606;2008-01-18;2026-05-15;4305,0
SIVC.ci;Action;3743;2008-01-02;2026-05-15;2850,0
SLBC.ci;Action;2374;2008-01-03;2026-05-15;37900,0
SMBC.ci;Action;3122;2008-01-03;2026-05-15;12895,0
SNTS.sn;Action;4628;2008-01-02;2026-05-15;28900,0
SOGC.ci;Action;4107;2008-01-04;2026-05-15;7485,0
SPHC.ci;Action;4271;2008-01-03;2026-05-15;6985,0
STAC.ci;Action;2200;2008-05-02;2026-05-15;2660,0
STBC.ci;Action;3275;2008-01-02;2026-05-15;21200,0
TTLC.ci;Action;3646;2008-01-03;2026-05-15;2910,0
TTLS.sn;Action;2727;2015-02-20;2026-05-15;3005,0
UNLC.ci;Action;1741;2010-08-09;2026-05-15;59950,0
UNXC.ci;Action;3364;2008-01-04;2026-05-15;1835,0
BRVM30;Indice;878;2023-01-01;2026-05-15;194,55
BRVM.CB;Indice;354;2025-01-02;2026-05-15;264,44
BRVM.CD;Indice;354;2025-01-02;2026-05-15;184,6
BRVM.EN;Indice;354;2025-01-02;2026-05-15;142,7
BRVM.IN;Indice;354;2025-01-02;2026-05-15;184,11
BRVM.SF;Indice;354;2025-01-02;2026-05-15;185,01
BRVM.TEL;Indice;354;2025-01-02;2026-05-15;103,27
BRVMAG;Indice;1700;2019-06-03;2025-12-31;341,63
BRVMAS;Indice;1700;2019-06-03;2025-12-31;669,2
BRVMC;Indice;4685;2008-01-02;2026-05-15;412,64
BRVMDI;Indice;1700;2019-06-03;2025-12-31;494,78
BRVMFI;Indice;1700;2019-06-03;2025-12-31;148,41
BRVMIN;Indice;1700;2019-06-03;2025-12-31;257,22
BRVMPA;Indice;875;2023-01-04;2026-05-15;289,02
BRVMPR;Indice;878;2023-01-01;2026-05-15;161,19
BRVMTR;Indice;1636;2019-06-03;2025-12-31;370,83
CAPIBRVM;Indice;1641;2020-01-02;2026-05-15;15898201,0
SIKAIDX;Indice;2370;2017-01-02;2026-05-15;120,99
SIKATR;Indice;1849;2019-03-31;2026-05-15;427,2
